timestamp,load,temperature,humidity,precipitation,wind_speed,wind_direction,pressure,cloud_cover
2013-01-01 00:00:00,1.903553299492385,9.7,96,0.0,5.8,263,1008.5,61
2013-01-01 01:00:00,2.220812182741115,8.6,97,0.0,5.5,302,1009.0,71
2013-01-01 02:00:00,1.903553299492385,9.0,96,0.0,4.8,318,1009.2,67
2013-01-01 03:00:00,2.2208121827411174,9.0,97,0.0,4.4,351,1009.2,62
2013-01-01 04:00:00,2.2208121827411174,8.8,97,0.0,3.6,360,1009.8,67
2013-01-01 05:00:00,2.2208121827411174,8.6,98,0.0,3.3,6,1009.6,75
2013-01-01 06:00:00,1.903553299492385,8.4,99,0.0,2.9,30,1010.2,90
2013-01-01 07:00:00,2.2208121827411174,8.3,97,0.0,3.8,49,1010.7,98
2013-01-01 08:00:00,2.5380710659898478,7.9,99,0.0,2.9,83,1011.2,99
2013-01-01 09:00:00,2.8553299492385773,8.7,98,0.0,5.4,94,1012.1,100
2013-01-01 10:00:00,2.53807106598985,10.2,92,0.0,3.6,135,1013.2,100
2013-01-01 11:00:00,2.85532994923858,11.1,87,0.0,0.8,297,1013.7,94
2013-01-01 12:00:00,2.220812182741115,12.0,82,0.0,7.0,325,1013.6,78
2013-01-01 13:00:00,3.17258883248731,12.8,77,0.0,10.9,326,1013.2,88
2013-01-01 14:00:00,3.17258883248731,13.1,76,0.0,12.5,327,1013.1,93
2013-01-01 15:00:00,3.17258883248731,13.0,75,0.0,11.3,333,1013.9,92
2013-01-01 16:00:00,2.5380710659898478,12.6,79,0.0,8.1,328,1013.5,94
2013-01-01 17:00:00,1.5862944162436523,11.9,83,0.0,5.9,322,1013.6,98
2013-01-01 18:00:00,1.903553299492385,10.9,88,0.0,5.2,326,1014.4,100
2013-01-01 19:00:00,1.5862944162436523,10.0,92,0.0,4.2,329,1014.7,100
2013-01-01 20:00:00,1.903553299492385,9.2,94,0.0,4.9,343,1014.9,96
2013-01-01 21:00:00,1.903553299492385,9.7,92,0.0,4.3,360,1015.1,94
2013-01-01 22:00:00,1.903553299492385,9.8,93,0.0,3.3,347,1015.5,96
2013-01-01 23:00:00,1.903553299492385,8.5,98,0.0,4.7,9,1016.0,99
2013-01-02 00:00:00,1.903553299492385,7.1,100,0.0,5.0,30,1016.5,99
2013-01-02 01:00:00,1.903553299492385,6.9,100,0.0,4.5,61,1016.3,100
2013-01-02 02:00:00,1.903553299492385,6.2,100,0.0,3.7,61,1016.2,100
2013-01-02 03:00:00,1.5862944162436523,6.4,99,0.0,6.9,51,1016.6,100
2013-01-02 04:00:00,2.2208121827411174,6.4,100,0.0,7.6,65,1016.9,100
2013-01-02 05:00:00,1.903553299492385,6.3,99,0.0,7.4,67,1016.4,100
2013-01-02 06:00:00,1.5862944162436523,6.1,99,0.0,8.5,62,1016.7,100
2013-01-02 07:00:00,1.903553299492385,5.8,99,0.0,9.2,64,1017.2,100
2013-01-02 08:00:00,2.8553299492385773,5.8,98,0.0,10.0,69,1017.6,98
2013-01-02 09:00:00,2.85532994923858,6.0,97,0.0,10.1,73,1018.2,95
2013-01-02 10:00:00,2.53807106598985,7.1,95,0.0,10.1,73,1018.8,92
2013-01-02 11:00:00,2.85532994923858,8.7,90,0.0,8.1,77,1019.3,78
2013-01-02 12:00:00,2.85532994923858,10.1,85,0.0,7.3,81,1018.8,59
2013-01-02 13:00:00,2.2208121827411174,11.5,81,0.0,6.8,72,1018.3,44
2013-01-02 14:00:00,3.48984771573604,12.6,76,0.0,6.8,58,1017.8,6
2013-01-02 15:00:00,2.85532994923858,13.3,72,0.0,6.9,47,1017.9,8
2013-01-02 16:00:00,1.5862944162436523,13.3,71,0.0,4.5,29,1017.9,18
2013-01-02 17:00:00,1.26903553299492,12.3,76,0.0,5.2,12,1018.2,15
2013-01-02 18:00:00,2.2208121827411174,11.0,80,0.0,6.3,31,1018.5,19
2013-01-02 19:00:00,1.903553299492385,10.1,84,0.0,7.7,49,1018.7,38
2013-01-02 20:00:00,2.2208121827411174,9.1,87,0.0,6.7,54,1019.1,57
2013-01-02 21:00:00,2.2208121827411174,8.1,90,0.0,6.9,62,1019.3,46
2013-01-02 22:00:00,2.2208121827411174,7.5,91,0.0,8.7,66,1019.7,29
2013-01-02 23:00:00,1.903553299492385,7.1,91,0.0,9.5,61,1020.2,0
2013-01-03 00:00:00,2.5380710659898478,6.8,90,0.0,10.0,64,1020.2,0
2013-01-03 01:00:00,1.903553299492385,6.7,90,0.0,9.8,66,1020.2,0
2013-01-03 02:00:00,2.2208121827411174,6.6,90,0.0,10.3,65,1020.5,0
2013-01-03 03:00:00,2.2208121827411174,6.6,89,0.0,10.3,65,1020.4,0
2013-01-03 04:00:00,2.2208121827411174,6.6,88,0.0,10.8,64,1020.2,0
2013-01-03 05:00:00,2.2208121827411174,6.6,87,0.0,11.1,65,1020.4,0
2013-01-03 06:00:00,1.903553299492385,6.6,87,0.0,10.8,69,1020.7,0
2013-01-03 07:00:00,2.2208121827411174,6.7,86,0.0,10.5,74,1021.3,0
2013-01-03 08:00:00,2.8553299492385773,6.7,86,0.0,10.5,74,1021.8,0
2013-01-03 09:00:00,2.53807106598985,7.4,84,0.0,12.5,72,1022.6,0
2013-01-03 10:00:00,2.5380710659898478,10.0,76,0.0,12.9,72,1023.1,0
2013-01-03 11:00:00,2.85532994923858,12.1,68,0.0,12.3,75,1023.5,0
2013-01-03 12:00:00,2.220812182741115,13.4,63,0.0,13.1,82,1023.7,0
2013-01-03 13:00:00,1.26903553299492,14.3,61,0.0,12.6,88,1023.2,0
2013-01-03 14:00:00,3.1725888324873077,14.9,60,0.0,10.8,94,1023.1,0
2013-01-03 15:00:00,13.324873096446726,15.1,60,0.0,8.4,97,1022.9,0
2013-01-03 16:00:00,14.911167512690376,14.9,63,0.0,4.8,103,1023.4,0
2013-01-03 17:00:00,15.862944162436552,13.8,66,0.0,8.0,100,1023.8,0
2013-01-03 18:00:00,6.979695431472085,11.9,73,0.0,8.8,81,1024.4,0
2013-01-03 19:00:00,2.2208121827411174,10.5,78,0.0,7.4,76,1024.7,0
2013-01-03 20:00:00,2.2208121827411174,9.1,84,0.0,6.9,81,1025.2,0
2013-01-03 21:00:00,2.53807106598985,8.2,88,0.0,7.2,84,1025.5,0
2013-01-03 22:00:00,1.903553299492385,7.7,89,0.0,8.3,92,1025.7,0
2013-01-03 23:00:00,2.5380710659898478,7.3,89,0.0,9.4,94,1026.4,0
2013-01-04 00:00:00,2.2208121827411174,6.9,90,0.0,10.1,96,1026.6,0
2013-01-04 01:00:00,2.53807106598985,6.6,91,0.0,10.5,98,1026.3,0
2013-01-04 02:00:00,2.5380710659898478,6.4,91,0.0,10.5,96,1026.2,0
2013-01-04 03:00:00,2.2208121827411174,6.1,92,0.0,10.5,98,1026.0,0
2013-01-04 04:00:00,2.2208121827411174,5.9,92,0.0,10.5,98,1026.0,0
